epoch;buy/sell;type;price
1836;buy;dairy;46
1846;buy;dairy;47
1866;buy;dairy;43
1868;buy;dairy;43
1887;buy;dairy;38
1891;buy;dairy;38
1898;buy;dairy;38
1909;buy;dairy;39
1918;buy;dairy;40
1918;buy;dairy;40
1937;buy;dairy;42
1937;buy;dairy;42
1958;buy;dairy;44
1972;buy;dairy;44
1988;buy;dairy;37
1988;buy;dairy;37
1997;buy;dairy;38
2008;buy;dairy;39
2028;buy;dairy;33
2033;buy;dairy;31
2041;buy;dairy;31
2041;buy;dairy;31
2057;buy;dairy;32
2072;buy;dairy;32
2078;buy;dairy;32
2086;buy;dairy;33
2099;buy;dairy;34
2111;buy;dairy;35
2120;buy;dairy;35
2129;buy;dairy;36
2147;buy;dairy;31
2148;buy;dairy;30
2163;buy;dairy;30
2169;buy;dairy;30
2178;buy;dairy;31
2198;buy;dairy;25
2202;buy;dairy;24
2205;buy;dairy;24
2216;buy;dairy;25
2225;buy;dairy;26
2244;buy;dairy;24
2252;buy;dairy;23
2260;buy;dairy;23
2271;buy;dairy;24
2277;buy;dairy;24
2287;buy;dairy;25
2297;buy;dairy;26
2311;buy;dairy;27
2317;buy;dairy;27
2331;buy;dairy;28
2339;buy;dairy;28
2357;buy;dairy;23
2357;buy;dairy;23
2369;buy;dairy;24
2380;buy;dairy;25
2381;buy;dairy;25
2398;buy;dairy;27
2416;buy;dairy;23
2419;buy;dairy;23
2419;buy;dairy;23
2442;buy;dairy;24
2456;buy;dairy;19
2468;buy;dairy;12
2469;buy;dairy;11
2475;buy;dairy;13
2486;buy;dairy;14
2498;buy;dairy;15
2507;buy;dairy;16
2522;buy;dairy;16
2532;buy;dairy;15
2533;buy;dairy;14
2552;buy;dairy;15
2557;buy;dairy;15
2565;buy;dairy;16
2579;buy;dairy;17
2586;buy;dairy;18
2613;buy;dairy;7
2614;buy;dairy;7
2617;buy;dairy;7
2628;buy;dairy;8
2637;buy;dairy;9
2637;buy;dairy;9
2665;buy;dairy;7
2666;buy;dairy;6
2678;buy;dairy;8
2688;buy;dairy;9
2689;buy;dairy;9
2714;buy;dairy;8
2716;buy;dairy;8
2725;buy;dairy;9
2738;buy;dairy;10
2759;buy;dairy;3
2761;buy;dairy;3
2773;buy;dairy;1
2777;buy;dairy;2
2787;buy;dairy;3
2796;buy;dairy;4
2814;buy;dairy;2
2817;buy;dairy;2
2826;buy;dairy;3
2837;buy;dairy;4
2846;buy;dairy;5
2858;buy;dairy;6
2865;buy;dairy;7
2878;buy;dairy;8
2887;buy;dairy;9
2896;buy;dairy;10
2911;buy;dairy;11
2917;buy;dairy;11
2926;buy;dairy;12
2940;buy;dairy;13
2948;buy;dairy;14
2948;buy;dairy;14
2968;buy;dairy;16
2980;buy;dairy;17
2996;buy;dairy;13
2998;buy;dairy;13
3015;buy;dairy;10
3016;buy;dairy;10
3027;buy;dairy;11
3036;buy;dairy;12
3050;buy;dairy;13
3058;buy;dairy;14
3069;buy;dairy;15
3079;buy;dairy;16
3086;buy;dairy;17
3106;buy;dairy;13
3109;buy;dairy;13
3122;buy;dairy;13
3125;buy;dairy;13
3141;buy;dairy;14
3161;buy;dairy;4
3162;buy;dairy;4
3166;buy;dairy;4
3176;buy;dairy;5
3186;buy;dairy;6
3209;buy;dairy;1
3214;buy;dairy;1
3218;buy;dairy;2
3230;buy;dairy;3
3238;buy;dairy;4
3247;buy;dairy;5
3264;buy;dairy;3
3268;buy;dairy;3
3275;buy;dairy;4
3288;buy;dairy;5
3302;buy;dairy;5
3318;buy;dairy;1
3323;buy;dairy;1
3325;buy;dairy;2
3337;buy;dairy;3
3347;buy;dairy;4
3365;buy;dairy;1
3380;buy;dairy;1
3380;buy;dairy;1
3385;buy;dairy;3
3386;buy;dairy;3
3424;buy;dairy;1
3427;buy;dairy;1
3433;buy;dairy;1
3438;buy;dairy;2
3448;buy;dairy;3
3448;buy;dairy;3
3468;buy;dairy;5
3477;buy;dairy;6
3487;buy;dairy;7
3497;buy;dairy;8
3507;buy;dairy;9
3520;buy;dairy;10
3532;buy;dairy;11
3533;buy;dairy;10
3549;buy;dairy;12
3563;buy;dairy;12
3574;buy;dairy;10
3578;buy;dairy;10
3591;buy;dairy;11
3596;buy;dairy;12
3597;buy;dairy;12
3619;buy;dairy;14
3627;buy;dairy;15
3637;buy;dairy;16
3651;buy;dairy;17
3657;buy;dairy;18
3667;buy;dairy;19
3680;buy;dairy;20
3688;buy;dairy;21
3701;buy;dairy;22
3710;buy;dairy;23
3721;buy;dairy;24
3727;buy;dairy;25
3738;buy;dairy;26
3753;buy;dairy;26
3758;buy;dairy;26
3771;buy;dairy;27
3777;buy;dairy;28
3791;buy;dairy;29
3798;buy;dairy;30
3813;buy;dairy;30
3817;buy;dairy;30
3829;buy;dairy;31
3837;buy;dairy;32
3861;buy;dairy;24
3865;buy;dairy;21
3866;buy;dairy;20
3876;buy;dairy;22
3893;buy;dairy;22
3913;buy;dairy;11
3917;buy;dairy;8
3926;buy;dairy;4
3927;buy;dairy;4
3938;buy;dairy;5
3957;buy;dairy;1
3962;buy;dairy;2
3962;buy;dairy;2
3977;buy;dairy;3
3987;buy;dairy;4
3999;buy;dairy;5
4016;buy;dairy;2
4021;buy;dairy;2
4028;buy;dairy;3
4042;buy;dairy;4
4047;buy;dairy;4
4069;buy;dairy;1
4071;buy;dairy;2
4080;buy;dairy;3
4087;buy;dairy;4
4103;buy;dairy;4
4110;buy;dairy;4
4124;buy;dairy;3
4127;buy;dairy;3
4140;buy;dairy;4
4151;buy;dairy;5
4166;buy;dairy;2
4169;buy;dairy;2
4178;buy;dairy;3
4187;buy;dairy;4
4205;buy;dairy;2
4209;buy;dairy;2
4218;buy;dairy;3
4218;buy;dairy;3
4247;buy;dairy;1
4256;buy;dairy;1
4259;buy;dairy;2
4268;buy;dairy;3
4269;buy;dairy;3
4288;buy;dairy;5
4297;buy;dairy;6
4310;buy;dairy;7
4317;buy;dairy;8
4329;buy;dairy;9
4338;buy;dairy;10
4350;buy;dairy;11
4360;buy;dairy;12
4367;buy;dairy;13
4381;buy;dairy;14
4388;buy;dairy;15
4402;buy;dairy;16
4402;buy;dairy;16
4418;buy;dairy;17
4429;buy;dairy;18
4446;buy;dairy;15
4447;buy;dairy;14
4459;buy;dairy;16
4471;buy;dairy;17
4476;buy;dairy;18
4499;buy;dairy;12
4500;buy;dairy;11
4510;buy;dairy;13
4518;buy;dairy;14
4535;buy;dairy;12
4543;buy;dairy;11
4553;buy;dairy;10
4558;buy;dairy;10
4572;buy;dairy;11
4585;buy;dairy;8
4597;buy;dairy;3
4604;buy;dairy;1
4609;buy;dairy;2
4618;buy;dairy;3
4639;buy;dairy;1
4645;buy;dairy;1
4645;buy;dairy;1
4658;buy;dairy;3
4667;buy;dairy;4
4668;buy;dairy;4
4687;buy;dairy;6
4706;buy;dairy;3
4711;buy;dairy;3
4719;buy;dairy;4
4738;buy;dairy;1
4739;buy;dairy;1
4763;buy;dairy;1
4766;buy;dairy;1
4769;buy;dairy;2
4769;buy;dairy;2
4793;buy;dairy;3
4815;buy;dairy;1
4816;buy;dairy;1
4820;buy;dairy;2
4829;buy;dairy;3
4843;buy;dairy;4
4844;buy;dairy;3
4865;buy;dairy;3
4873;buy;dairy;3
4879;buy;dairy;3
4880;buy;dairy;3
4898;buy;dairy;5
4916;buy;dairy;3
4921;buy;dairy;3
4933;buy;dairy;4
4940;buy;dairy;4
4940;buy;dairy;4
4959;buy;dairy;6
4970;buy;dairy;7
4985;buy;dairy;6
4988;buy;dairy;6
4999;buy;dairy;7
5008;buy;dairy;8
5021;buy;dairy;9
5038;buy;dairy;5
5041;buy;dairy;5
5052;buy;dairy;6
5057;buy;dairy;7
5068;buy;dairy;8
5086;buy;dairy;6
5097;buy;dairy;2
5100;buy;dairy;2
5113;buy;dairy;3
5119;buy;dairy;3
5130;buy;dairy;4
5146;buy;dairy;2
5153;buy;dairy;2
5164;buy;dairy;1
5164;buy;dairy;1
5178;buy;dairy;3
5198;buy;dairy;1
5204;buy;dairy;1
5207;buy;dairy;2
5220;buy;dairy;3
5230;buy;dairy;4
5244;buy;dairy;4
5250;buy;dairy;4
5259;buy;dairy;5
5268;buy;dairy;6
5281;buy;dairy;7
5294;buy;dairy;7
5303;buy;dairy;7
5315;buy;dairy;5
5317;buy;dairy;5
5330;buy;dairy;6
5331;buy;dairy;6
5355;buy;dairy;6
5367;buy;dairy;2
5370;buy;dairy;2
5380;buy;dairy;3
5402;buy;dairy;1
5411;buy;dairy;1
5425;buy;dairy;1
5427;buy;dairy;1
5430;buy;dairy;2
5439;buy;dairy;3
5452;buy;dairy;4
5459;buy;dairy;5
5469;buy;dairy;6
5483;buy;dairy;7
5492;buy;dairy;7
5500;buy;dairy;8
5518;buy;dairy;4
5526;buy;dairy;1
5529;buy;dairy;2
5529;buy;dairy;2
5552;buy;dairy;4
5560;buy;dairy;5
5569;buy;dairy;6
5578;buy;dairy;7
5579;buy;dairy;7
5598;buy;dairy;9
5611;buy;dairy;10
5619;buy;dairy;11
5628;buy;dairy;12
5628;buy;dairy;12
5655;buy;dairy;12
5660;buy;dairy;12
5661;buy;dairy;12
5678;buy;dairy;14
5688;buy;dairy;15
5709;buy;dairy;10
5714;buy;dairy;9
5721;buy;dairy;9
5729;buy;dairy;10
5742;buy;dairy;11
5760;buy;dairy;5
5766;buy;dairy;2
5768;buy;dairy;2
5769;buy;dairy;2
5787;buy;dairy;4
5797;buy;dairy;5
5814;buy;dairy;5
5819;buy;dairy;5
5819;buy;dairy;5
5820;buy;dairy;5
5852;buy;dairy;15
5871;buy;dairy;8
5872;buy;dairy;8
5879;buy;dairy;9
5887;buy;dairy;10
5900;buy;dairy;11
5913;buy;dairy;12
5920;buy;dairy;12
5928;buy;dairy;13
5940;buy;dairy;14
5947;buy;dairy;15
5958;buy;dairy;16
5970;buy;dairy;17
5978;buy;dairy;18
5995;buy;dairy;17
6009;buy;dairy;11
6013;buy;dairy;11
6018;buy;dairy;11
6028;buy;dairy;12
6041;buy;dairy;13
6047;buy;dairy;14
6047;buy;dairy;14
6072;buy;dairy;16
6081;buy;dairy;17
6093;buy;dairy;18
6100;buy;dairy;18
6109;buy;dairy;19
6123;buy;dairy;20
6131;buy;dairy;20
6142;buy;dairy;21
6142;buy;dairy;21
6164;buy;dairy;22
6175;buy;dairy;20
6179;buy;dairy;20
6191;buy;dairy;21
6191;buy;dairy;21
6212;buy;dairy;23
6222;buy;dairy;24
6232;buy;dairy;25
6240;buy;dairy;26
6250;buy;dairy;27
6265;buy;dairy;26
6273;buy;dairy;26
6283;buy;dairy;26
6290;buy;dairy;26
6290;buy;dairy;26
6309;buy;dairy;28
6326;buy;dairy;26
6335;buy;dairy;24
6337;buy;dairy;24
6351;buy;dairy;25
6358;buy;dairy;26
6379;buy;dairy;21
6381;buy;dairy;21
6387;buy;dairy;22
6388;buy;dairy;22
6407;buy;dairy;24
6428;buy;dairy;20
6435;buy;dairy;18
6438;buy;dairy;18
6451;buy;dairy;19
6457;buy;dairy;20
6471;buy;dairy;21
6488;buy;dairy;17
6492;buy;dairy;17
6501;buy;dairy;18
6502;buy;dairy;18
6520;buy;dairy;20
6538;buy;dairy;16
6543;buy;dairy;16
6548;buy;dairy;16
6557;buy;dairy;17
6571;buy;dairy;18
6584;buy;dairy;18
6589;buy;dairy;18
6601;buy;dairy;19
6616;buy;dairy;17
6619;buy;dairy;17
6632;buy;dairy;18
6643;buy;dairy;19
6649;buy;dairy;19
6669;buy;dairy;14
6673;buy;dairy;14
6674;buy;dairy;13
6689;buy;dairy;15
6700;buy;dairy;16
6709;buy;dairy;17
6719;buy;dairy;18
6719;buy;dairy;18
6738;buy;dairy;20
6749;buy;dairy;21
6762;buy;dairy;22
6769;buy;dairy;23
6783;buy;dairy;24
6791;buy;dairy;24
6799;buy;dairy;25
6800;buy;dairy;25
6818;buy;dairy;27
6831;buy;dairy;28
6832;buy;dairy;28
6849;buy;dairy;30
6859;buy;dairy;31
6871;buy;dairy;32
6878;buy;dairy;33
6891;buy;dairy;34
6900;buy;dairy;35
6908;buy;dairy;36
6925;buy;dairy;35
6929;buy;dairy;35
6938;buy;dairy;36
6951;buy;dairy;37
6960;buy;dairy;38
6970;buy;dairy;39
6983;buy;dairy;40
6990;buy;dairy;40
6999;buy;dairy;41
7013;buy;dairy;42
7026;buy;dairy;39
7028;buy;dairy;39
7039;buy;dairy;40
7051;buy;dairy;41
7058;buy;dairy;42
7081;buy;dairy;35
7086;buy;dairy;32
7095;buy;dairy;30
7099;buy;dairy;30
7114;buy;dairy;30
7120;buy;dairy;30
7132;buy;dairy;31
7138;buy;dairy;32
7147;buy;dairy;33
7160;buy;dairy;34
7173;buy;dairy;35
7173;buy;dairy;35
7195;buy;dairy;34
7198;buy;dairy;34
7216;buy;dairy;32
7219;buy;dairy;32
7229;buy;dairy;33
7242;buy;dairy;34
7248;buy;dairy;35
7260;buy;dairy;36
7272;buy;dairy;37
7278;buy;dairy;38
7298;buy;dairy;34
7300;buy;dairy;34
7308;buy;dairy;35
7319;buy;dairy;36
7331;buy;dairy;37
7339;buy;dairy;38
7350;buy;dairy;39
7363;buy;dairy;40
7369;buy;dairy;40
7383;buy;dairy;41
7391;buy;dairy;41
7403;buy;dairy;42
7410;buy;dairy;42
7422;buy;dairy;43
7432;buy;dairy;44
7438;buy;dairy;45
7452;buy;dairy;46
7462;buy;dairy;47
7471;buy;dairy;48
7481;buy;dairy;49
7489;buy;dairy;50
7505;buy;dairy;49
7513;buy;dairy;49
7519;buy;dairy;49
7529;buy;dairy;50
7541;buy;dairy;51
7549;buy;dairy;52
7561;buy;dairy;53
7578;buy;dairy;49
7582;buy;dairy;49
7588;buy;dairy;50
7604;buy;dairy;50
7608;buy;dairy;50
7619;buy;dairy;51
7629;buy;dairy;52
7641;buy;dairy;53
7653;buy;dairy;54
7666;buy;dairy;51
7670;buy;dairy;51
7677;buy;dairy;52
7690;buy;dairy;53
7702;buy;dairy;54
7711;buy;dairy;55
7722;buy;dairy;56
7729;buy;dairy;57
7743;buy;dairy;58
7762;buy;dairy;49
7766;buy;dairy;46
7768;buy;dairy;46
7778;buy;dairy;47
7815;buy;dairy;26
7817;buy;dairy;25
7824;buy;dairy;24
7828;buy;dairy;24
7841;buy;dairy;25
7864;buy;dairy;15
7868;buy;dairy;12
7885;buy;dairy;1
7887;buy;dairy;1
7890;buy;dairy;2
7899;buy;dairy;3
7919;buy;dairy;1
7921;buy;dairy;2
7936;buy;dairy;1
7939;buy;dairy;2
7950;buy;dairy;3
7974;buy;dairy;1
7977;buy;dairy;1
7984;buy;dairy;1
7989;buy;dairy;2
7997;buy;dairy;3
8009;buy;dairy;4
8025;buy;dairy;3
8029;buy;dairy;3
8040;buy;dairy;4
8048;buy;dairy;5
8078;buy;dairy;1
8080;buy;dairy;1
8087;buy;dairy;1
8090;buy;dairy;2
8103;buy;dairy;3
8112;buy;dairy;4
8132;buy;dairy;1
8141;buy;dairy;1
8143;buy;dairy;2
8150;buy;dairy;3
8162;buy;dairy;4
8181;buy;dairy;1
8184;buy;dairy;2
8194;buy;dairy;3
8206;buy;dairy;4
8211;buy;dairy;4
8227;buy;dairy;4
8228;buy;dairy;3
8244;buy;dairy;5
8244;buy;dairy;5
8260;buy;dairy;7
8273;buy;dairy;8
8281;buy;dairy;9
8291;buy;dairy;10
8291;buy;dairy;10
8312;buy;dairy;12
8322;buy;dairy;13
8331;buy;dairy;14
8341;buy;dairy;15
8351;buy;dairy;16
8360;buy;dairy;17
8361;buy;dairy;17
8393;buy;dairy;12
8393;buy;dairy;12
8403;buy;dairy;13
8404;buy;dairy;13
8422;buy;dairy;15
8438;buy;dairy;14
8448;buy;dairy;12
8448;buy;dairy;12
8460;buy;dairy;13
8471;buy;dairy;14
8484;buy;dairy;15
8484;buy;dairy;15
8501;buy;dairy;17
8516;buy;dairy;18
8525;buy;dairy;18
8533;buy;dairy;19
8542;buy;dairy;20
8552;buy;dairy;21
8561;buy;dairy;22
8574;buy;dairy;23
8584;buy;dairy;24
8597;buy;dairy;24
8598;buy;dairy;23
8611;buy;dairy;25
8621;buy;dairy;26
8638;buy;dairy;25
8641;buy;dairy;25
8652;buy;dairy;26
8663;buy;dairy;27
8672;buy;dairy;28
8673;buy;dairy;28
8693;buy;dairy;30
8701;buy;dairy;31
8716;buy;dairy;32
8717;buy;dairy;31
8742;buy;dairy;27
8746;buy;dairy;27
8746;buy;dairy;27
8760;buy;dairy;28
8770;buy;dairy;29
8782;buy;dairy;30
8801;buy;dairy;26
8803;buy;dairy;26
8813;buy;dairy;27
8813;buy;dairy;27
8835;buy;dairy;29
8841;buy;dairy;30
8854;buy;dairy;31
8861;buy;dairy;32
8871;buy;dairy;33
8884;buy;dairy;34
8885;buy;dairy;34
8903;buy;dairy;36
8914;buy;dairy;37
8921;buy;dairy;38
8940;buy;dairy;35
8944;buy;dairy;35
8954;buy;dairy;36
8963;buy;dairy;37
8973;buy;dairy;38
8987;buy;dairy;38
8991;buy;dairy;38
9004;buy;dairy;39
9015;buy;dairy;40
9023;buy;dairy;41
9041;buy;dairy;37
9043;buy;dairy;37
9056;buy;dairy;38
9060;buy;dairy;38
9071;buy;dairy;39
9072;buy;dairy;39
9093;buy;dairy;41
9101;buy;dairy;42
9118;buy;dairy;41
9121;buy;dairy;41
9122;buy;dairy;41
9142;buy;dairy;43
9153;buy;dairy;44
9162;buy;dairy;45
9176;buy;dairy;46
9181;buy;dairy;46
9200;buy;dairy;43
9203;buy;dairy;43
9204;buy;dairy;43
9225;buy;dairy;45
9237;buy;dairy;45
9247;buy;dairy;44
9250;buy;dairy;44
9262;buy;dairy;45
9272;buy;dairy;46
9287;buy;dairy;46
9298;buy;dairy;44
9303;buy;dairy;44
9314;buy;dairy;45
9322;buy;dairy;46
9340;buy;dairy;43
9342;buy;dairy;43
9357;buy;dairy;43
9362;buy;dairy;43
9362;buy;dairy;43
9385;buy;dairy;45
9394;buy;dairy;46
9401;buy;dairy;47
9414;buy;dairy;48
9421;buy;dairy;49
9437;buy;dairy;49
9444;buy;dairy;49
9453;buy;dairy;50
9462;buy;dairy;51
9462;buy;dairy;51
9490;buy;dairy;49
9494;buy;dairy;49
9502;buy;dairy;50
9510;buy;dairy;51
9521;buy;dairy;52
9540;buy;dairy;49
9545;buy;dairy;49
9555;buy;dairy;50
9562;buy;dairy;51
9573;buy;dairy;52
9581;buy;dairy;53
9598;buy;dairy;52
9604;buy;dairy;52
9605;buy;dairy;52
9621;buy;dairy;54
9632;buy;dairy;55
9650;buy;dairy;52
9652;buy;dairy;52
9665;buy;dairy;53
9675;buy;dairy;54
9681;buy;dairy;55
9695;buy;dairy;56
9701;buy;dairy;57
9713;buy;dairy;58
9721;buy;dairy;59
9733;buy;dairy;60
9742;buy;dairy;61
9763;buy;dairy;55
9766;buy;dairy;55
9771;buy;dairy;55
9771;buy;dairy;55
9790;buy;dairy;57
9802;buy;dairy;58
9813;buy;dairy;59
9828;buy;dairy;58
9832;buy;dairy;58
9850;buy;dairy;55
9851;buy;dairy;54
9861;buy;dairy;56
9870;buy;dairy;57
9891;buy;dairy;53
9893;buy;dairy;53
9903;buy;dairy;54
9913;buy;dairy;55
9920;buy;dairy;56
9931;buy;dairy;57
9931;buy;dairy;57
9952;buy;dairy;59
9964;buy;dairy;60
9973;buy;dairy;61
9983;buy;dairy;62
9994;buy;dairy;63
9995;buy;dairy;63
36;sell;dairy;50
86;sell;dairy;64
89;sell;dairy;64
91;sell;dairy;63
98;sell;dairy;62
153;sell;dairy;61
178;sell;dairy;68
181;sell;dairy;68
183;sell;dairy;67
200;sell;dairy;66
205;sell;dairy;65
208;sell;dairy;62
309;sell;dairy;46
337;sell;dairy;72
340;sell;dairy;74
350;sell;dairy;74
351;sell;dairy;73
364;sell;dairy;72
395;sell;dairy;71
408;sell;dairy;70
468;sell;dairy;83
471;sell;dairy;83
491;sell;dairy;82
496;sell;dairy;81
501;sell;dairy;80
517;sell;dairy;77
552;sell;dairy;70
561;sell;dairy;69
618;sell;dairy;70
637;sell;dairy;73
653;sell;dairy;73
663;sell;dairy;72
673;sell;dairy;71
681;sell;dairy;70
708;sell;dairy;67
760;sell;dairy;72
779;sell;dairy;77
795;sell;dairy;78
810;sell;dairy;78
812;sell;dairy;77
815;sell;dairy;76
839;sell;dairy;67
910;sell;dairy;78
914;sell;dairy;78
916;sell;dairy;78
921;sell;dairy;77
940;sell;dairy;74
943;sell;dairy;71
948;sell;dairy;65
1082;sell;dairy;76
1101;sell;dairy;94
1103;sell;dairy;95
1113;sell;dairy;95
1118;sell;dairy;94
1135;sell;dairy;93
1150;sell;dairy;92
1157;sell;dairy;91
1182;sell;dairy;79
1243;sell;dairy;76
1251;sell;dairy;76
1268;sell;dairy;75
1273;sell;dairy;74
1288;sell;dairy;73
1302;sell;dairy;72
1370;sell;dairy;76
1373;sell;dairy;76
1398;sell;dairy;75
1403;sell;dairy;74
1443;sell;dairy;77
1450;sell;dairy;77
1462;sell;dairy;76
1488;sell;dairy;75
1495;sell;dairy;74
1533;sell;dairy;73
1562;sell;dairy;75
1566;sell;dairy;75
1579;sell;dairy;74
1590;sell;dairy;73
1615;sell;dairy;72
1676;sell;dairy;88
1680;sell;dairy;89
1693;sell;dairy;89
1696;sell;dairy;88
1702;sell;dairy;87
1726;sell;dairy;80
1731;sell;dairy;77
1803;sell;dairy;63
1804;sell;dairy;63
1829;sell;dairy;62
1844;sell;dairy;61
1891;sell;dairy;72
1899;sell;dairy;72
1914;sell;dairy;72
1918;sell;dairy;71
1920;sell;dairy;70
1932;sell;dairy;61
2029;sell;dairy;74
2034;sell;dairy;78
2048;sell;dairy;80
2058;sell;dairy;80
2062;sell;dairy;79
2079;sell;dairy;78
2098;sell;dairy;77
2126;sell;dairy;76
2169;sell;dairy;78
2176;sell;dairy;78
2187;sell;dairy;77
2206;sell;dairy;76
2228;sell;dairy;75
2268;sell;dairy;76
2278;sell;dairy;76
2279;sell;dairy;75
2302;sell;dairy;74
2355;sell;dairy;82
2368;sell;dairy;84
2375;sell;dairy;84
2377;sell;dairy;83
2392;sell;dairy;82
2404;sell;dairy;78
2483;sell;dairy;83
2484;sell;dairy;83
2493;sell;dairy;82
2502;sell;dairy;81
2510;sell;dairy;80
2524;sell;dairy;74
2589;sell;dairy;65
2609;sell;dairy;68
2634;sell;dairy;76
2641;sell;dairy;76
2646;sell;dairy;75
2657;sell;dairy;74
2663;sell;dairy;73
2739;sell;dairy;73
2750;sell;dairy;77
2759;sell;dairy;77
2789;sell;dairy;79
2791;sell;dairy;79
2796;sell;dairy;78
2800;sell;dairy;77
2862;sell;dairy;61
2910;sell;dairy;84
2918;sell;dairy;91
2935;sell;dairy;99
2939;sell;dairy;99
2952;sell;dairy;98
2969;sell;dairy;97
2973;sell;dairy;96
2976;sell;dairy;93
2991;sell;dairy;77
3086;sell;dairy;69
3095;sell;dairy;77
3107;sell;dairy;77
3111;sell;dairy;77
3131;sell;dairy;76
3144;sell;dairy;75
3186;sell;dairy;74
3217;sell;dairy;83
3234;sell;dairy;90
3238;sell;dairy;90
3250;sell;dairy;89
3255;sell;dairy;88
3261;sell;dairy;86
3312;sell;dairy;70
3338;sell;dairy;69
3374;sell;dairy;75
3375;sell;dairy;76
3393;sell;dairy;74
3401;sell;dairy;73
3411;sell;dairy;72
3413;sell;dairy;70
3492;sell;dairy;50
3497;sell;dairy;50
3512;sell;dairy;49
3534;sell;dairy;48
3561;sell;dairy;47
3589;sell;dairy;48
3602;sell;dairy;48
